央视ʰ,#genre#
CCTV-1_综合,https://itv.lat/tv/live.php?id=cctv1
CCTV-2_财经,https://itv.lat/tv/live.php?id=cctv2
CCTV-3_综艺,https://itv.lat/tv/live.php?id=cctv3
CCTV-4_中文国际,https://itv.lat/tv/live.php?id=cctv4
CCTV-5_体育,https://itv.lat/tv/live.php?id=cctv5
CCTV-5+_体育赛事,https://itv.lat/tv/live.php?id=cctv5p
CCTV-6_电影,https://itv.lat/tv/live.php?id=cctv6
CCTV-7_国防军事,https://itv.lat/tv/live.php?id=cctv7
CCTV-8_电视剧,https://itv.lat/tv/live.php?id=cctv8
CCTV-9_纪录,https://itv.lat/tv/live.php?id=cctv9
CCTV-10_科教,https://itv.lat/tv/live.php?id=cctv10
CCTV-11_戏曲,https://itv.lat/tv/live.php?id=cctv11
CCTV-12_社会与法,https://itv.lat/tv/live.php?id=cctv12
CCTV-13_新闻,https://itv.lat/tv/live.php?id=cctv13
CCTV-14_少儿,https://itv.lat/tv/live.php?id=cctv14
CCTV-15_音乐,https://itv.lat/tv/live.php?id=cctv15
CCTV-16_奥林匹克,https://itv.lat/tv/live.php?id=cctv16
CCTV-17_农业农村,https://itv.lat/tv/live.php?id=cctv17
CCTV-4K_超高清,https://itv.lat/tv/live.php?id=cctv4k
CCTV-16_奥林匹克_4K,https://itv.lat/tv/live.php?id=cctv164k
CGTN,https://itv.lat/tv/live.php?id=cgtn

卫视ʰ,#genre#
北京卫视,https://itv.lat/tv/live.php?id=bjws
东方卫视,https://itv.lat/tv/live.php?id=dfws
天津卫视,https://itv.lat/tv/live.php?id=tjws
重庆卫视,https://itv.lat/tv/live.php?id=cqws
黑龙江卫视,https://itv.lat/tv/live.php?id=hljws
吉林卫视,https://itv.lat/tv/live.php?id=jlws
辽宁卫视,https://itv.lat/tv/live.php?id=lnws
内蒙古卫视,https://itv.lat/tv/live.php?id=nmws
宁夏卫视,https://itv.lat/tv/live.php?id=nxws
甘肃卫视,https://itv.lat/tv/live.php?id=gsws
青海卫视,https://itv.lat/tv/live.php?id=qhws
陕西卫视,https://itv.lat/tv/live.php?id=sxws
河北卫视,https://itv.lat/tv/live.php?id=hbws
山西卫视,https://itv.lat/tv/live.php?id=sxiws
山东卫视,https://itv.lat/tv/live.php?id=sdws
安徽卫视,https://itv.lat/tv/live.php?id=ahws
河南卫视,https://itv.lat/tv/live.php?id=hnws
湖北卫视,https://itv.lat/tv/live.php?id=hubws
湖南卫视,https://itv.lat/tv/live.php?id=hunws
江西卫视,https://itv.lat/tv/live.php?id=jxws
江苏卫视,https://itv.lat/tv/live.php?id=jsws
浙江卫视,https://itv.lat/tv/live.php?id=zjws
东南卫视,https://itv.lat/tv/live.php?id=dnws
海峡卫视,https://itv.lat/tv/live.php?id=hxws
厦门卫视,https://itv.lat/tv/live.php?id=xmws
广东卫视,https://itv.lat/tv/live.php?id=gdws
深圳卫视,https://itv.lat/tv/live.php?id=szws
广西卫视,https://itv.lat/tv/live.php?id=gxws
云南卫视,https://itv.lat/tv/live.php?id=ynws
贵州卫视,https://itv.lat/tv/live.php?id=gzws
四川卫视,https://itv.lat/tv/live.php?id=scws
康巴卫视,https://itv.lat/tv/live.php?id=kbws
海南卫视,https://itv.lat/tv/live.php?id=hinws
三沙卫视,https://itv.lat/tv/live.php?id=ssws
新疆卫视,https://itv.lat/tv/live.php?id=xjws
兵团卫视,https://itv.lat/tv/live.php?id=btws
西藏卫视,https://itv.lat/tv/live.php?id=xzws
西藏藏语卫视,https://itv.lat/tv/live.php?id=xzzyws
CETV1,https://itv.lat/tv/live.php?id=cetv1
CETV2,https://itv.lat/tv/live.php?id=cetv2
CETV4,https://itv.lat/tv/live.php?id=cetv4

数字ʰ,#genre#
北京纪实科教,https://itv.lat/tv/live.php?id=bjjskj
纪实人文,https://itv.lat/tv/live.php?id=shjsrw
动漫秀场,https://itv.lat/tv/live.php?id=dmxc
哈哈炫动,https://itv.lat/tv/live.php?id=hhxd
欢笑剧场,https://itv.lat/tv/live.php?id=hxjc
欢笑剧场_4K,https://itv.lat/tv/live.php?id=hxjc4k
都市剧场,https://itv.lat/tv/live.php?id=dsjc
五星体育,https://itv.lat/tv/live.php?id=wxty
劲爆体育,https://itv.lat/tv/live.php?id=jbty
新视觉,https://itv.lat/tv/live.php?id=xsj
游戏风云,https://itv.lat/tv/live.php?id=yxfy
生活时尚,https://itv.lat/tv/live.php?id=shss
金色学堂,https://itv.lat/tv/live.php?id=jspd
乐游,https://itv.lat/tv/live.php?id=qjs
魅力足球,https://itv.lat/tv/live.php?id=mlzq
茶频道,https://itv.lat/tv/live.php?id=cpd
快乐垂钓,https://itv.lat/tv/live.php?id=klcd
金鹰纪实,https://itv.lat/tv/live.php?id=jyjs
金鹰卡通,https://itv.lat/tv/live.php?id=jykt
嘉佳卡通,https://itv.lat/tv/live.php?id=jjkt
财富天下,https://itv.lat/tv/live.php?id=cftx
中国天气,https://itv.lat/tv/live.php?id=zgtq

地方ʰ,#genre#
上海新闻综合,https://itv.lat/tv/live.php?id=shxwzh
上海都市,https://itv.lat/tv/live.php?id=shds
上海ICS外语,https://itv.lat/tv/live.php?id=shics
东方影视,https://itv.lat/tv/live.php?id=dfys
七彩戏剧,https://itv.lat/tv/live.php?id=qcxj
第一财经,https://itv.lat/tv/live.php?id=dycj
法治天地,https://itv.lat/tv/live.php?id=fztd
东方财经,https://itv.lat/tv/live.php?id=dfcj
上海教育,https://itv.lat/tv/live.php?id=shjy
东方购物,https://itv.lat/tv/live.php?id=dfgw
浦东电视台,https://itv.lat/tv/live.php?id=pdtv
福建综合,https://itv.lat/tv/live.php?id=fjzh
福建新闻,https://itv.lat/tv/live.php?id=fjxw
福建电视剧,https://itv.lat/tv/live.php?id=fjdsj
福建文体,https://itv.lat/tv/live.php?id=fjwt
福建少儿,https://itv.lat/tv/live.php?id=fjse
福建旅游,https://itv.lat/tv/live.php?id=fjly
福建经济,https://itv.lat/tv/live.php?id=fjjj
福建公共,https://itv.lat/tv/live.php?id=fjgg
福建教育,https://itv.lat/tv/live.php?id=fjjy

百视ʰ,#genre#
看天下精选,https://itv.lat/tv/live.php?id=ktxjx
华语影院,https://itv.lat/tv/live.php?id=hyyy
电竞天堂,https://itv.lat/tv/live.php?id=djtt
青春动漫,https://itv.lat/tv/live.php?id=qcdm
星光影院,https://itv.lat/tv/live.php?id=xgyy
谍战剧场,https://itv.lat/tv/live.php?id=dzjc
全球大片,https://itv.lat/tv/live.php?id=qqdp
热门剧场,https://itv.lat/tv/live.php?id=rmjc
热门综艺,https://itv.lat/tv/live.php?id=rmzy
戏曲精选,https://itv.lat/tv/live.php?id=xqjx
健康养生,https://itv.lat/tv/live.php?id=jkys
百变课堂,https://itv.lat/tv/live.php?id=bbkt
宝宝动画,https://itv.lat/tv/live.php?id=bbdh
百视通体育1,https://itv.lat/tv/live.php?id=sport1
百视通体育2,https://itv.lat/tv/live.php?id=sport2
百视通体育3,https://itv.lat/tv/live.php?id=sport3
百视通体育4,https://itv.lat/tv/live.php?id=sport4
百视通体育5,https://itv.lat/tv/live.php?id=sport5
百视通体育6,https://itv.lat/tv/live.php?id=sport6
百视通体育7,https://itv.lat/tv/live.php?id=sport7
